Название текста,Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
expository (non-timed*@* paragraph*@* Capstone),eng,HL,AM,2012-2013,Улыбаюсь*@* {{когда}} это слышу.,когда,время,гп,null,null,null,null,1ед,null null,null
expository (non-timed*@* paragraph*@* Capstone),eng,HL,AM,2012,Каждый раз*@* {{когда}} я слышу национализм»*@* я почему то ассоциирую это слово с бунтом*@* революцией*@* государственным переворотом и т.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
supported opinion (timed (10 min)*@* paragraph*@* Ecological Sustainability),eng,HL,IH,2012-2013,И не только это*@* но мы еще загрязндем этот воздух*@* {{когда}} мы ездим на машинах*@* используем вредные для воздуха продукты*@* как лак для волос и поддерживаем разные фабрики и заводы*@* которые загрязняют наш воздух больше всего.,когда,время,пг,null,мест,null,и,1мн,null мест,null
expository (timed (7 min)*@* paragraph*@* SINQ),eng,FL,IH,2008-2009,Когда мне {{было}} 17 лет*@* я пошла в армию.,когда,время,пг,мест,мест,и,д,1ед,мест мест,other
paraphrase (timed (10 min)*@* paragraph*@* Russian in the Major),eng,FL,IH,2010-2011,{{Когда}} мы рассматриваем и понимаем то*@* что случилось в прошлом*@* мы сделаем меньше ошибок и лучше созданий.,когда,время,п_г,мест,мест,и,и,1мн,мест мест,other
summary (non-timed*@* paragraph*@* Russian in the Major),eng,FL,AL,2010-2011,Потом я расскажу о том*@* что я видела*@* {{когда}} я ездила в одну школу и посмотрела урок.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
description and expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Я нервничала перед того*@* как мы встретились*@* потому что я некогда не жила или дружилась с подростками*@* даже {{когда}} я сама была подростком.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,{{Когда}} мне было восемнадцать лет*@* я ехала в Россию первый раз.,когда,время,пг,мест,мест,и,д,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Зато {{когда}} я вернулась домой*@* мне было совсем легко переехать в общежитие*@* учится в большом Американском городе.,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* ROF),eng,FL,AL,2012-2013,Я помню*@* как трудно было моей хозяйке понять*@* почему я уехала из дома*@* {{когда}} мне было только 17 лет.,когда,время,гп,мест,мест,и,д,1ед,мест мест,other
